ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
27043,27043,B5,G6350,S,185563397,1845322,+36.3372457,-080.4519109
27045,27045,B5,G6350,S,60021708,178757,+36.2343984,-080.2960701
27046,27046,B5,G6350,S,105273606,336500,+36.5022187,-080.0782643
27047,27047,B5,G6350,S,52606667,647602,+36.3141343,-080.5691122
27048,27048,B5,G6350,S,214957006,1080500,+36.4825897,-079.9176921
27050,27050,B5,G6350,S,64491246,536991,+36.2264423,-080.4097074
27051,27051,B5,G6350,S,47590535,97441,+36.1959455,-080.1534011
27052,27052,B5,G6350,S,271486077,8823251,+36.3207550,-080.1504527
27053,27053,B5,G6350,S,175045023,1008525,+36.4742760,-080.3478503
27054,27054,B5,G6350,S,75781299,105393,+35.7925404,-080.5978879
27055,27055,B5,G6350,S,276857096,1977753,+36.1138325,-080.6310992
27101,27101,B5,G6350,S,33063767,765170,+36.1108495,-080.2004303
27103,27103,B5,G6350,S,48041470,279785,+36.0582299,-080.3214959
27104,27104,B5,G6350,S,31930483,52866,+36.0936873,-080.3235320
27105,27105,B5,G6350,S,87148382,235860,+36.1633767,-080.2337873
27106,27106,B5,G6350,S,74202924,869453,+36.1439097,-080.3231573
27107,27107,B5,G6350,S,168486060,1428803,+36.0131579,-080.1754914
27109,27109,B5,G6350,S,501901,0,+36.1339281,-080.2776346
27110,27110,B5,G6350,S,488557,0,+36.0892596,-080.2249598
27127,27127,B5,G6350,S,77029397,562730,+36.0207083,-080.2798166
43469,43469,B5,G6350,S,59815219,77949,+41.4603686,-083.3645499
43501,43501,B5,G6350,S,62578562,192975,+41.6726550,-084.4617960
43502,43502,B5,G6350,S,178062714,1092935,+41.5345544,-084.2937871
43504,43504,B5,G6350,S,39699640,0,+41.6957726,-083.8367491
43505,43505,B5,G6350,S,253921,0,+41.5239457,-084.7312635
43506,43506,B5,G6350,S,263290963,864371,+41.4662106,-084.5571335
43511,43511,B5,G6350,S,118157324,29912,+41.2625594,-083.8147261
43512,43512,B5,G6350,S,566479469,7808909,+41.3033782,-084.3582793
43515,43515,B5,G6350,S,211461555,715353,+41.5842148,-084.0106149
43516,43516,B5,G6350,S,182219710,90484,+41.2149032,-083.9152423
43517,43517,B5,G6350,S,167786656,784317,+41.4339468,-084.7285498
43518,43518,B5,G6350,S,177637381,261756,+41.5964884,-084.7577482
43519,43519,B5,G6350,S,3339594,6774,+41.4193593,-084.4070701
43521,43521,B5,G6350,S,172345004,863302,+41.6604894,-084.2979938
43522,43522,B5,G6350,S,81979515,2642984,+41.4203100,-083.8324020
43523,43523,B5,G6350,S,3552266,0,+41.3370649,-083.9892543
43524,43524,B5,G6350,S,77957238,13318,+41.2271217,-084.0384436
43525,43525,B5,G6350,S,2945088,0,+41.4665824,-083.7044501
43526,43526,B5,G6350,S,201124430,21182,+41.3128056,-084.7253089
43527,43527,B5,G6350,S,136154246,41927,+41.2461091,-084.1575024
43528,43528,B5,G6350,S,48184361,93012,+41.6288552,-083.7495751
97884,97884,B5,G6350,S,206023218,4010387,+44.4553438,-118.2222296
97885,97885,B5,G6350,S,780504182,0,+45.6556688,-117.5117041
97886,97886,B5,G6350,S,368501793,187897,+45.8023079,-118.2724104
97901,97901,B5,G6350,S,257708797,4119656,+43.6214451,-117.1072752
97903,97903,B5,G6350,S,309271933,284336,+44.2468051,-117.6469773
97904,97904,B5,G6350,S,1594692777,2153244,+43.8861787,-118.5229286
97905,97905,B5,G6350,S,536115454,0,+44.5738200,-117.4595124
97906,97906,B5,G6350,S,3199686392,792608,+43.5370386,-117.7746785
97907,97907,B5,G6350,S,821523714,15886692,+44.4195014,-117.3455140
97908,97908,B5,G6350,S,913843845,2154760,+44.3123779,-117.9278861
97909,97909,B5,G6350,S,129029715,0,+44.2466919,-117.4189575
97911,97911,B5,G6350,S,1809055287,14897942,+43.7364817,-118.0413879
97914,97914,B5,G6350,S,662536333,7113553,+44.1136188,-117.0841615
97918,97918,B5,G6350,S,1111695947,2893853,+44.0371142,-117.3510723
97920,97920,B5,G6350,S,1201095802,193873,+44.0721806,-117.8542824
71944,71944,B5,G6350,S,109016928,543251,+34.2428242,-094.3327689
73118,73118,B5,G6350,S,12872694,7266,+35.5179676,-097.5287181
71945,71945,B5,G6350,S,185579393,1151905,+34.4851525,-094.3395650
73119,73119,B5,G6350,S,15729206,0,+35.4220070,-097.5661255
71949,71949,B5,G6350,S,538555478,71790817,+34.6990852,-093.2207979
